Number of leaf symbols,States in tree automata,Standard equivalence queries,Standard time,Advice equivalence queries,Advice time,Approximate time,Approximate tokens,Approximate is_found,Approximate advice time,Approximate advice tokens,Approximate advice is_found,Approximate random check time,Approximate random check tokens,Approximate random check is_found,Approximate counting heuristic time,Approximate counting heuristic tokens,Approximate counting heuristic is_found
3,6,6,0,4,0,4,2911,1,4,3755,1,4,2109,1,4,4936,1
3,27,18,0,18,0,4,330406,1,4,585982,1,4,384903,1,4,321344,1
3,21,14,0,5,0,4,73932,1,5,191279,1,6,128816,1,0,46549,0
3,24,14,0,4,0,9,279680,1,6,158530,1,4,272430,1,4,195415,1
3,21,12,0,4,0,5,219388,1,6,118882,1,6,105854,1,7,132028,1
3,7,5,0,5,0,8,2607,1,0,8930,0,7,835,1,7,1592,1
4,148,45,65,3,50,33,21698824,1,40,39430871,1,56,45459517,1,41,39430867,1
3,15,11,0,4,0,7,32675,1,7,100215,1,7,39480,1,6,43065,1
3,17,9,0,9,0,6,83785,1,6,88973,1,6,71599,1,6,98451,1
4,142,33,36,4,29,16,19402040,1,17,23580592,1,14,15335224,1,16,21224178,1
3,21,12,0,4,0,4,61178,1,0,2771,0,4,39301,1,4,50861,1
3,21,13,0,1,0,4,76924,1,4,97196,1,4,99113,1,4,78638,1
3,22,12,0,3,0,4,168635,1,4,97395,1,4,227627,1,4,142237,1
3,16,10,0,4,0,0,30291,0,4,34988,1,4,44623,1,4,38783,1
4,45,24,0,7,0,0,5801,0,4,1897915,1,0,271568,0,4,1903206,1
3,24,15,0,3,0,4,327067,1,4,1313693,1,4,1201054,1,4,302480,1
4,66,27,2,5,2,7,2846954,1,5,3736577,1,0,716934,0,0,74842,0
3,24,17,0,7,0,4,300281,1,0,150622,0,4,464118,1,4,381704,1
3,24,10,0,3,0,4,93242,1,4,164380,1,4,107897,1,4,350601,1
3,15,9,0,2,0,4,20355,1,4,40309,1,4,28696,1,4,33746,1
3,15,10,0,2,0,4,51588,1,4,42139,1,4,38574,1,4,41785,1
3,21,14,0,4,0,4,127152,1,4,84313,1,4,72725,1,4,130864,1
3,27,16,0,2,0,0,159411,0,4,220248,1,4,270387,1,4,407036,1
4,106,31,10,4,6,9,9708647,1,16,27212964,1,0,1330482,0,1,2680431,0
3,15,11,0,3,0,4,54339,1,4,39769,1,4,52376,1,4,42535,1
4,64,26,1,2,2,5,3186473,1,4,2435335,1,5,4993395,1,4,3057803,1
4,110,37,9,3,9,10,10115684,1,12,16847397,1,2,5196223,0,0,1280166,0
3,21,14,0,5,0,4,110108,1,4,75240,1,4,108018,1,4,122108,1
3,24,11,0,4,0,4,23578,1,4,28913,1,4,46457,1,4,22898,1
3,27,17,0,2,0,4,194024,1,4,677479,1,4,247602,1,4,428412,1
3,17,7,0,7,0,4,13871,1,4,14547,1,4,15960,1,4,19107,1
3,21,13,0,2,0,4,71189,1,4,104642,1,4,83665,1,4,102797,1
