Number of leaf symbols,States in tree automata,Standard equivalence queries,Standard time,Advice equivalence queries,Advice time,Approximate time,Approximate tokens,Approximate is_found,Approximate advice time,Approximate advice tokens,Approximate advice is_found,Approximate random check time,Approximate random check tokens,Approximate random check is_found,Approximate counting heuristic time,Approximate counting heuristic tokens,Approximate counting heuristic is_found
3,23,13,0,6,0,0,4397,0,4,501757,1,4,281002,1,0,68866,0
3,21,14,0,2,0,0,9227,0,3,97752,1,3,115666,1,3,142647,1
3,27,18,0,7,0,0,39281,0,4,604472,1,4,306186,1,4,209031,1
3,21,11,0,1,0,4,65014,1,4,51824,1,3,130148,1,4,51824,1
3,24,19,0,19,0,4,451377,1,4,419138,1,0,2628,0,4,418094,1
3,21,13,0,3,0,3,71708,1,3,99452,1,3,135804,1,3,74010,1
4,112,36,16,3,9,11,11728384,0,10,13861482,1,17,31540517,1,11,14861613,1
4,70,31,2,5,6,6,3735031,1,0,13182,0,0,340039,0,0,59476,0
3,15,10,0,3,0,3,31804,1,3,41707,1,3,76762,1,3,24710,1
3,27,19,0,5,0,4,356424,1,0,205218,0,4,258718,1,3,188494,1
3,27,19,0,3,0,6,424427,1,4,340082,1,4,636726,1,4,541134,1
3,13,7,0,6,0,3,6677,1,3,5409,1,4,4805,1,3,6126,1
3,24,15,0,4,0,4,185051,1,3,140541,1,3,225313,1,3,82489,1
3,22,17,0,4,0,0,64026,0,3,149748,1,4,285319,1,3,202147,1
3,27,18,0,4,0,4,334870,1,4,380720,1,4,365746,1,4,284742,1
3,9,6,0,4,0,0,5024,0,3,3582,1,3,3658,1,3,3237,1
3,15,10,0,3,0,3,31935,1,3,32010,1,3,26679,1,3,26804,1
3,24,16,0,16,0,4,237062,1,4,245661,1,3,171049,1,3,290510,1
3,22,13,0,5,0,0,5200,0,3,264917,1,3,121291,1,3,56910,1
3,27,16,0,3,0,4,172507,1,4,119250,1,4,232466,1,4,183786,1
3,21,14,0,4,0,3,127571,1,4,52802,1,4,69596,1,3,69863,1
3,15,10,0,10,0,4,62514,1,4,50650,1,3,71912,1,3,70230,1
3,21,11,0,3,0,4,66649,1,3,142316,1,3,96557,1,0,17430,0
3,27,20,0,6,0,4,364516,1,4,237375,1,0,421936,0,4,237373,1
3,21,16,0,3,0,4,115406,1,3,62321,1,4,185566,1,3,75887,1
3,27,15,0,4,0,4,201699,1,4,236707,1,4,377798,1,3,234083,1
3,21,11,0,4,0,0,1659,0,3,95321,1,3,121531,1,3,101568,1
3,21,13,0,6,0,5,43303,0,4,107217,1,3,124053,1,3,218168,1
4,67,33,2,5,3,5,3609716,0,7,10455377,1,8,12130198,1,7,9340809,1
4,172,32,47,3,28,29,40536082,1,0,461058,0,26,35478355,1,57,121429721,1
4,172,42,51,3,71,26,33686525,0,35,60676274,1,0,23658,0,190,409365775,1
3,21,11,0,3,0,3,101254,1,3,139555,1,3,160950,1,4,83146,1
3,21,14,0,4,0,4,104445,1,4,151710,1,0,228,0,3,132001,1
3,15,10,0,5,0,3,38041,1,0,34230,0,3,35923,1,3,84454,1
3,27,16,0,4,0,4,186265,1,4,219869,1,4,266287,1,4,179026,1
4,66,32,2,3,3,10,3880700,0,6,8134588,1,1,3355673,0,6,8340989,1
3,17,12,0,12,0,3,79049,1,3,50768,1,3,49403,1,3,60609,1
3,9,7,0,4,0,3,8460,1,3,15740,1,3,6541,1,3,9064,1
3,15,10,0,5,0,3,44799,1,0,16503,0,3,59582,1,4,47085,1
3,27,13,0,1,0,3,176791,1,4,253185,1,4,351678,1,4,253185,1
4,80,31,4,2,2,0,2574,0,8,11081002,1,7,8942693,1,8,12510648,1
4,124,43,19,4,19,10,14006990,1,20,36991262,1,94,224716996,1,29,60008704,1
3,15,11,0,4,0,0,2672,0,3,34783,1,3,80182,1,3,40826,1
4,40,22,0,22,0,9,1559742,1,10,1238791,1,8,2538592,1,0,12825,0
3,24,14,0,4,0,4,119862,1,4,173422,1,4,178069,1,4,102090,1
3,27,17,0,3,0,0,397,0,4,414889,1,4,395963,1,4,285794,1
4,110,29,7,5,22,9,11025003,1,13,21252258,1,18,32834131,1,14,24371763,1
3,10,5,0,4,0,3,1251,1,3,917,1,3,1073,1,4,1109,1
3,21,11,0,5,0,3,117781,1,3,153767,1,3,70292,1,4,119651,1
3,6,5,0,3,0,3,1763,1,3,1470,1,3,5526,1,3,1470,1
3,15,10,0,10,0,3,44620,1,3,49673,1,3,79051,1,3,58184,1
3,8,8,0,5,0,3,5579,1,3,7631,1,3,6556,1,4,21013,1
3,6,5,0,3,0,3,4520,1,3,3221,1,3,1738,1,3,2217,1
3,9,7,0,5,0,3,3043,1,3,2630,1,3,2943,1,3,2751,1
4,48,20,1,3,0,4,2067590,1,4,1561291,1,5,5191235,1,3,1142466,1
3,27,5,0,3,0,4,1754,1,3,1758,1,3,2050,1,3,1745,1
3,21,9,0,3,0,3,18048,1,3,25992,1,3,19041,1,3,18241,1
3,13,8,0,3,0,3,20346,1,3,35712,1,3,20246,1,4,13811,1
3,7,5,0,4,0,4,817,1,4,973,1,3,947,1,4,841,1
3,21,11,0,3,0,3,70007,1,4,154154,1,4,67243,1,4,139634,1
4,112,36,12,3,9,0,1481,0,17,30547228,1,31,63305911,1,16,26099488,1
3,15,11,0,5,0,4,24590,1,3,22920,1,3,31933,1,4,37393,1
3,27,16,0,5,0,4,263384,1,4,192153,1,4,327121,1,4,145455,1
4,108,37,14,7,14,12,13350322,1,15,27198305,1,19,35902123,1,6,18175988,0
3,21,16,0,4,0,3,80396,1,3,227510,1,3,116675,1,3,91269,1
3,27,18,0,5,0,0,420626,0,0,64757,0,4,343860,1,4,487050,1
3,15,11,0,4,0,3,27727,1,3,28209,1,3,25486,1,3,24898,1
3,24,11,0,3,0,4,142855,1,0,31339,0,3,103680,1,4,156339,1
3,8,5,0,2,0,4,1522,1,3,1754,1,3,1332,1,3,1808,1
3,22,16,0,3,0,3,147130,1,4,102051,1,4,312734,1,4,210221,1
3,21,14,0,2,0,4,79262,1,3,223299,1,4,132466,1,3,213595,1
3,27,17,0,6,0,4,222947,1,4,359469,1,4,276539,1,4,488984,1
4,172,46,92,3,28,30,33815668,1,28,43276827,1,36,56768933,1,43,82740248,1
3,21,15,0,4,0,5,103604,1,4,92740,1,4,123628,1,3,118541,1
3,21,11,0,2,0,3,63724,1,4,70854,1,4,111090,1,4,89668,1
3,15,8,0,3,0,3,44004,1,4,23843,1,3,11808,1,4,18910,1
3,15,12,0,5,0,3,20623,1,3,77747,1,3,28760,1,4,86957,1
3,21,15,0,15,0,4,133818,0,4,119241,1,7,225534,1,4,172814,0
3,21,14,0,4,0,4,74889,1,4,73149,1,4,239061,1,4,99780,1
3,27,18,0,1,0,4,358316,1,4,390039,1,0,78820,0,4,390039,1
4,76,29,3,3,2,7,3383994,0,5,4511598,1,6,6756039,1,6,7219472,1
3,21,13,0,1,0,3,58399,1,3,98751,1,4,61691,1,4,98751,1
3,17,14,0,14,0,4,177923,1,4,143095,1,4,357064,1,4,244121,1
3,21,13,0,3,0,4,69326,1,4,118787,1,3,147322,1,4,72867,1
3,24,15,0,3,0,4,82644,1,4,225249,1,0,90904,0,4,163139,1
3,24,15,0,4,0,4,177754,1,4,199064,1,4,206706,1,4,131096,1
3,24,15,0,4,0,3,90746,1,4,195041,1,4,77903,1,4,185316,1
3,11,9,0,9,0,3,9611,1,3,20316,1,3,7938,1,3,12187,1
4,91,33,6,4,8,10,6656781,0,11,17554197,1,10,16373017,1,11,17531658,1
3,21,12,0,5,0,4,76800,1,3,52982,1,4,167673,1,3,69232,1
3,27,15,0,4,0,4,190921,1,4,323657,1,0,11110,0,4,194636,1
3,6,6,0,4,0,4,2241,1,3,1729,1,3,1755,1,3,1594,1
3,24,12,0,12,0,4,128459,1,4,154447,1,4,67975,1,4,204937,1
3,13,9,0,5,0,3,20000,1,3,30518,1,3,13777,1,3,17991,1
3,10,6,0,4,0,3,6422,1,4,9942,1,4,5314,1,3,4209,1
3,24,17,0,17,0,4,162104,0,5,208466,0,4,147428,0,5,226244,0
3,24,15,0,5,0,4,197501,1,4,122304,1,0,131700,0,4,129346,1
3,27,16,0,6,0,4,253021,1,4,106010,1,4,219409,1,3,106010,1
3,27,16,0,5,0,4,218158,1,4,257171,1,4,213571,1,4,145142,1
3,21,13,0,2,0,3,61966,1,0,15362,0,4,146751,1,3,110480,1
3,15,10,0,4,0,3,68696,1,3,88677,1,3,39226,1,3,61785,1
3,24,16,0,8,0,4,260199,1,4,277678,1,4,250817,1,4,189815,1
4,116,27,9,4,20,12,13321917,1,12,20262610,1,10,14363304,0,0,60625,0
3,27,19,0,6,0,5,185875,1,4,284982,1,4,352400,1,4,300461,1
3,24,16,0,16,0,4,245124,1,4,311537,1,4,442875,1,4,293523,1
3,11,7,0,7,0,3,14603,1,3,13645,1,3,17978,1,3,14450,1
3,5,5,0,4,0,3,891,1,3,1044,1,3,1011,1,3,1319,1
3,21,12,0,2,0,4,88536,1,3,126840,1,4,111587,1,3,81026,1
3,27,12,0,4,0,4,233983,1,3,99400,1,0,16063,0,4,239727,1
3,6,5,0,5,0,3,2253,1,0,10123,0,3,1647,1,0,30415,0
3,6,6,0,5,0,4,4584,1,3,3011,1,3,3675,1,3,7829,1
3,17,11,0,3,0,3,29045,1,3,28181,1,3,40388,1,4,81178,1
3,27,17,0,4,0,4,312381,1,4,225517,1,4,371625,1,4,268667,1
3,27,15,0,15,0,4,735975,1,4,270815,1,4,645236,1,0,349266,0
4,163,52,61,5,71,0,762720,0,50,103744081,1,88,189389124,1,59,123268719,1
4,136,40,22,4,16,13,14416550,1,18,28485901,1,18,26924045,1,18,26012954,1
3,9,7,0,5,0,4,3144,1,3,2367,1,4,5102,1,4,3977,1
3,27,16,0,4,0,4,129338,1,4,348008,1,4,252814,1,4,202375,1
4,38,18,0,3,0,3,754663,1,3,787792,1,3,855591,1,3,796321,1
3,27,20,0,4,0,4,426149,1,4,266416,1,4,459961,1,4,327089,1
3,6,5,0,4,0,3,1254,1,3,1292,1,3,2158,1,4,1343,1
3,15,11,0,11,0,0,138518,0,0,59146,0,0,44391,0,4,119350,1
4,66,29,2,4,1,8,4409028,1,6,5526893,1,6,5224186,1,5,5786996,1
3,7,6,0,4,0,3,4586,1,3,3973,1,3,4682,1,3,5953,1
3,27,15,0,3,0,0,228,0,4,425149,1,0,3710,0,0,689,0
4,52,23,0,5,0,6,1528957,1,4,2217066,1,0,1596288,0,3,1103158,1
4,124,37,12,4,7,23,16923653,1,12,17889701,1,24,45555071,1,12,16472957,1
3,21,12,0,4,0,3,65643,1,0,2506,0,3,106729,1,4,206842,1
4,43,21,0,6,0,4,362819,1,3,324521,1,3,398656,1,3,809029,1
3,11,10,0,10,0,4,19463,1,3,27351,1,4,20243,1,4,21170,1
3,21,13,0,5,0,3,78593,1,3,93844,1,4,197345,1,4,119072,1
4,105,28,5,4,5,7,6903312,1,8,8895763,1,10,12541165,1,6,4437890,1
4,97,28,6,2,10,7,6567237,1,13,20989895,1,10,15022939,1,0,7123,0
3,21,13,0,3,0,4,72196,1,4,81533,1,0,38993,0,4,110074,1
3,21,11,0,3,0,3,88936,1,3,65182,1,3,81549,1,3,74176,1
4,86,35,4,4,7,7,5317263,1,0,5101,0,0,230714,0,8,11855874,1
3,24,16,0,7,0,4,126577,1,4,214390,1,4,162745,1,4,605519,1
3,21,17,0,4,0,0,46699,0,3,182632,1,3,158360,1,3,141767,1
3,24,16,0,4,0,3,138836,1,4,287762,1,4,143254,1,4,144764,1
3,27,15,0,3,0,3,120837,1,5,212694,1,0,143190,0,4,139711,1
4,82,24,3,2,3,5,5062529,1,6,5650665,1,2,6128503,0,5,4184145,1
3,21,14,0,2,0,3,82414,1,3,88045,1,3,68171,1,3,57825,1
3,24,14,0,3,0,4,159639,1,4,120134,1,4,149395,1,4,301596,1
3,27,16,0,10,0,4,257219,1,4,569395,1,4,246300,1,4,380690,1
4,112,33,9,6,6,0,170277,0,0,2828,0,17,30022931,1,0,73040,0
4,90,41,7,41,7,0,992193,0,0,612572,0,11,16267050,1,12,12629369,1
3,15,10,0,2,0,4,30522,1,3,29870,1,3,34208,1,3,29870,1
3,27,16,0,2,0,3,214082,1,4,322073,1,4,387742,1,4,710357,1
3,7,7,0,5,0,0,14308,0,3,4887,1,3,5011,1,3,5700,1
4,112,40,14,6,13,10,11278724,1,14,25005811,1,11,16303469,1,16,29067401,1
3,27,18,0,5,0,4,197926,1,4,340221,1,0,266437,0,3,137194,1
3,11,9,0,9,0,3,32181,1,3,35458,1,3,44033,1,3,35010,1
3,15,9,0,3,0,3,23609,1,0,56141,0,0,18785,0,0,16411,0
3,15,13,0,2,0,3,25385,1,3,83465,1,3,61075,1,3,51295,1
3,27,18,0,2,0,4,344707,1,4,1209969,1,4,339081,1,4,330784,1
3,15,12,0,2,0,4,44143,1,4,46607,1,3,32090,1,3,42941,1
5,149,50,35,7,23,12,16998691,0,29,48275609,1,0,1146189,0,22,31988243,1
3,24,14,0,3,0,0,17481,0,0,4001,0,4,150795,1,0,3848,0
4,68,28,1,1,1,5,3807922,1,5,3866471,1,5,3205176,1,5,3866471,1
3,15,8,0,2,0,3,41005,1,3,29313,1,4,36195,1,3,29273,1
3,27,16,0,3,0,4,201048,1,4,142091,1,4,278436,1,3,183242,1
3,22,17,0,3,0,4,77721,0,3,132134,1,3,99028,1,3,119250,1
4,68,24,2,4,2,7,3599681,1,5,5482354,1,7,8625339,1,7,8384826,1
3,24,14,0,5,0,4,190544,1,4,75741,1,4,275791,1,0,10110,0
3,15,9,0,5,0,3,23814,1,3,70395,1,3,126472,1,3,54071,1
3,21,10,0,4,0,4,104599,1,4,196995,1,3,73474,1,3,92097,1
3,24,15,0,15,0,4,361837,1,7,704481,1,7,437492,1,7,617063,1
3,27,17,0,4,0,4,347312,1,0,3953,0,4,543630,1,4,322307,1
3,27,13,0,4,0,4,147412,1,4,186673,1,3,182344,1,4,347306,1
3,17,11,0,11,0,4,200477,1,4,74807,1,0,45913,0,4,91861,1
3,24,17,0,4,0,4,310419,1,4,818234,1,0,5119,0,4,367857,1
3,21,17,0,4,0,0,17945,0,3,167366,1,3,181004,1,4,193601,1
3,21,13,0,2,0,3,78668,1,3,76157,1,4,108473,1,3,89950,1
4,22,9,0,6,0,3,12301,1,3,14664,1,3,12524,1,3,17536,1
4,46,22,0,6,0,4,690645,1,0,824802,0,4,2966975,1,3,1004771,1
3,6,5,0,4,0,3,1210,1,3,2385,1,3,1405,1,3,4296,1
3,15,11,0,5,0,3,70253,1,3,31885,1,3,37023,1,3,31061,1
3,24,16,0,5,0,3,128754,1,4,184844,1,4,156998,1,3,126916,1
3,27,18,0,3,0,4,324960,1,4,572495,1,4,537342,1,4,606159,1
4,124,44,15,4,14,0,18752,0,17,30767683,1,15,25383580,1,33,18524873,1
3,27,19,0,5,0,4,210614,1,4,352657,1,4,626757,1,4,365037,1
4,160,48,38,4,25,53,49743019,1,39,65051148,1,4,9678721,0,35,55313590,1
3,21,15,0,5,0,5,125963,1,4,101534,1,4,115499,1,4,128260,1
3,9,6,0,6,0,8,5442,1,8,4582,1,8,5718,1,8,5490,1
3,17,10,0,4,0,8,57355,1,0,98,0,0,99,0,8,76076,1
3,24,14,0,1,0,8,161702,1,9,167475,1,9,258562,1,9,167475,1
3,21,12,0,2,0,8,59446,1,8,86412,1,9,104831,1,7,97853,1
4,35,22,0,22,0,0,112109,0,0,8679,0,8,452686,1,11,619765,1
3,27,18,0,5,0,7,284268,1,8,303333,1,8,329094,1,8,257827,1
3,24,15,0,6,0,8,163469,1,7,82160,1,9,159203,1,9,251351,1
3,7,7,0,4,0,9,5720,1,8,4069,1,9,6255,1,9,4310,1
4,72,27,8,1,7,13,2662507,1,15,6724713,1,16,6834304,1,16,6724713,1
4,80,29,9,2,9,13,4944376,1,17,8272170,1,0,8628,0,16,8272202,1
4,56,27,3,4,2,9,1560845,1,0,15046,0,8,2185909,1,0,3281,0
3,15,9,0,9,0,7,67328,1,7,60898,1,12,55068,1,9,58530,1
3,15,11,0,5,0,8,40193,1,8,65153,1,8,54133,1,9,126553,1
3,15,8,0,3,0,8,18281,1,9,15276,1,8,20235,1,8,16582,1
3,27,16,0,8,0,7,162666,1,8,274818,1,0,1101,0,9,236547,1
3,10,6,0,5,0,0,1471,0,9,4466,1,0,2840,0,9,3238,1
3,24,11,0,4,0,9,78291,1,9,353433,1,8,333137,1,4,156727,1
4,112,40,12,6,8,10,12765896,1,17,29472896,1,10,25399695,0,1,2995594,0
3,24,12,0,2,0,4,149282,1,4,168450,1,4,211351,1,4,341821,1
3,22,12,0,2,0,4,66575,1,4,192594,1,4,116098,1,4,192594,1
3,21,9,0,4,0,4,284054,1,4,61475,1,4,148842,1,4,146225,1
3,21,13,0,3,0,4,135850,1,4,253091,1,4,110772,1,4,253091,1
3,21,16,0,3,0,0,15761,0,4,129570,1,4,64723,1,4,122319,1
4,97,30,10,4,3,9,5819126,1,0,10749,0,13,23145275,1,11,14893050,1
3,24,15,0,6,0,4,322752,1,4,172120,1,0,157973,0,4,389130,1
3,21,12,0,2,0,4,64257,1,4,78825,1,4,91252,1,7,80480,1
3,21,12,0,3,0,8,102500,1,9,63701,1,8,230056,1,9,99052,1
3,24,16,0,6,0,9,205090,1,9,234530,1,8,322671,1,0,18582,0
3,27,18,0,4,0,8,172091,1,10,374044,1,10,150096,1,10,246974,1
3,9,7,0,7,0,9,11648,1,9,22906,1,7,11058,1,3,11376,1
3,17,12,0,5,0,9,23276,1,9,40593,1,10,65682,1,9,80818,1
3,15,11,0,3,0,10,53092,1,10,45010,1,9,29610,1,9,54970,1
3,7,5,0,3,0,9,1083,1,9,1406,1,0,6662,0,9,1099,1
3,24,14,0,4,0,10,91521,1,10,118537,1,9,175053,1,9,159463,1
3,21,14,0,4,0,10,62233,1,10,229098,1,8,51713,1,9,91353,1
3,27,17,0,3,0,9,137662,1,8,741936,1,8,295108,1,10,755902,1
3,17,14,0,3,0,9,124450,1,0,1146,0,8,52849,1,9,88862,1
3,17,12,0,12,0,11,89509,1,12,136571,1,10,79588,1,10,77138,1
3,21,15,0,6,0,9,77472,1,9,94515,1,8,102239,1,9,84247,1
3,21,16,0,4,0,11,53334,1,10,83878,1,9,106029,1,10,130633,1
3,27,15,0,1,0,10,162320,1,11,210400,1,10,194820,1,11,210400,1
3,24,14,0,4,0,5,244696,1,4,85423,1,4,368934,1,4,158481,1
3,21,12,0,3,0,4,110877,1,4,85556,1,4,117703,1,4,82427,1
3,21,12,0,3,0,4,157032,1,4,138270,1,4,150414,1,4,156590,1
4,122,45,26,3,31,13,15874490,1,33,67749389,1,0,1556528,0,40,86642322,1
4,112,51,16,51,16,15,25651179,0,21,38958227,1,18,28694163,1,14,23404742,1
3,27,14,0,4,0,4,188624,1,4,193923,1,4,339827,1,4,182501,1
3,27,12,0,7,0,0,38272,0,4,73030,1,4,105554,1,4,49573,1
3,24,15,0,5,0,4,174660,1,4,205545,1,4,208285,1,4,156956,1
3,27,19,0,1,0,4,213656,1,4,345886,1,4,265284,1,4,345886,1
4,46,28,0,6,0,6,412865,1,4,749804,1,6,625913,1,4,899631,1
4,114,30,9,4,6,10,11374032,1,9,11757150,1,9,9389976,1,17,30181790,1
3,7,5,0,5,0,4,1539,1,4,2256,1,3,1756,1,4,2236,1
4,178,42,67,5,50,37,48002754,1,35,50888952,1,24,55162928,0,55,93799469,1
3,15,11,0,2,0,4,82959,1,4,41178,1,4,44032,1,4,41244,1
4,172,47,65,6,68,25,27138460,0,44,72904220,1,46,74430148,1,56,99353395,1
3,15,8,0,2,0,4,17707,1,4,26510,1,4,43864,1,4,13204,1
4,196,53,118,4,55,57,77100832,1,34,76965431,0,0,637318,0,33,76965431,0
4,33,13,0,5,0,3,149599,1,3,198737,1,3,342237,1,3,116454,1
3,27,18,0,4,0,4,206341,1,4,339743,1,4,590615,1,0,46909,0
4,180,42,63,3,38,44,62067949,1,79,148670928,1,37,85504998,0,48,75842468,1
3,21,13,0,4,0,4,52442,1,4,58120,1,4,87682,1,4,99699,1
4,78,28,3,3,5,7,6386637,1,10,16352303,1,8,9397295,1,10,16726165,1
4,169,45,56,4,55,26,30940189,1,0,1313,0,10,23954992,0,0,723,0
4,92,34,6,2,7,10,13833084,1,11,17138782,1,8,11525791,1,11,16022906,1
3,21,14,0,4,0,4,73134,1,4,114953,1,4,74478,1,4,86380,1
4,142,34,24,2,19,14,16085999,0,31,61386479,1,17,20505954,1,21,33932423,1
4,30,19,0,8,0,3,225239,1,3,312171,1,3,209958,1,3,325993,1
3,15,10,0,5,0,4,31234,1,4,24597,1,4,55672,1,3,27634,1
3,9,7,0,3,0,4,12843,1,5,7182,1,3,12755,1,4,8629,1
3,9,7,0,2,0,4,5438,1,4,12317,1,4,14005,1,4,6499,1
4,44,23,0,3,0,3,587020,1,3,604425,1,3,788828,1,3,926384,1
3,21,11,0,4,0,4,82815,1,4,92896,1,4,127354,1,4,90360,1
4,148,41,35,4,33,20,27024756,0,63,133021169,1,44,85549815,1,25,40879190,1
3,5,5,0,5,0,0,1170,0,3,1284,1,4,2960,1,4,1238,1
4,210,40,128,1,82,56,61865333,1,86,146950415,1,60,70023831,1,87,146950415,1
3,24,13,0,3,0,4,160456,1,0,2072,0,4,158457,1,0,2134,0
3,27,16,0,3,0,4,137937,1,4,489388,1,4,200213,1,4,283885,1
3,7,6,0,4,0,4,1911,1,3,2296,1,4,2346,1,4,2532,1
4,244,41,215,3,71,79,71469622,1,212,404742259,1,75,63716174,1,153,236988777,1
4,244,41,265,3,102,84,79259516,1,90,110166226,1,53,121165213,0,88,109815318,1
3,21,14,0,5,0,4,108336,1,4,77845,1,4,138937,1,4,72322,1
3,24,13,0,13,0,4,280851,1,4,293981,1,4,455485,1,4,300723,1
4,256,42,296,3,91,74,51732628,1,93,88553173,1,128,168832377,1,129,177596763,1
4,148,37,35,4,80,21,27470439,1,0,1030,0,0,28483,0,0,1101,0
3,10,5,0,4,0,0,5186,0,4,2220,1,3,2771,1,3,6239,1
3,21,12,0,4,0,4,52612,1,4,138077,1,0,105581,0,4,99432,1
3,27,18,0,6,0,4,416728,1,4,524605,1,0,66378,0,0,35353,0
4,256,42,273,5,125,96,105186238,1,120,175697327,1,163,260509227,1,211,383114199,1
3,27,13,0,4,0,4,175461,1,4,325564,1,4,211325,1,4,203825,1
3,15,8,0,5,0,4,71667,1,4,51509,1,4,46643,1,0,5127,0
3,7,5,0,3,0,4,5120,1,4,3518,1,0,405,0,0,161,0
4,232,36,137,7,85,38,46662390,0,80,99320077,1,67,67770972,1,76,100100477,1
4,40,19,0,1,0,3,487473,1,3,825382,1,3,590781,1,3,825382,1
3,21,11,0,2,0,4,83599,1,4,131550,1,4,214948,1,4,92387,1
3,21,13,0,5,0,4,54557,1,4,286367,1,0,16442,0,4,124486,1
3,21,16,0,5,0,4,46947,1,4,143358,1,0,237631,0,4,119033,1
4,244,40,191,2,119,70,56250043,1,89,103724378,1,191,337510981,1,96,115909687,1
3,27,16,0,4,0,4,243139,1,0,3631,0,4,180270,1,0,5369,0
4,21,15,0,15,0,7,120349,1,4,96947,1,6,138620,1,4,103826,1
3,27,15,0,15,0,4,326519,1,0,229,0,4,838205,1,0,686,0
4,172,35,49,5,36,32,43022668,1,49,89337242,1,61,113357329,1,37,56308485,1
4,256,57,384,1,174,121,164229240,1,176,300605378,1,110,254481613,0,178,300605378,1
3,27,14,0,3,0,4,187293,1,4,254130,1,4,167636,1,4,143564,1
3,24,15,0,15,0,0,237,0,4,123269,1,4,188096,1,6,253076,1
3,27,17,0,3,0,4,249477,1,4,179409,1,4,373425,1,0,1299,0
3,23,14,0,14,0,4,201499,1,4,342113,1,4,377278,1,4,282908,1
3,21,12,0,3,0,4,60370,1,4,71896,1,4,71747,1,4,71896,1
4,256,53,394,5,152,0,1414620,0,95,91373003,1,13,31665823,0,178,286374366,1
3,27,18,0,4,0,5,362779,1,4,205296,1,4,368607,1,4,299168,1
3,24,13,0,2,0,4,128441,1,4,177188,1,4,129629,1,4,177188,1
3,24,15,0,5,0,4,297963,1,4,209693,1,4,235231,1,4,141645,1
3,27,10,0,1,0,4,216882,1,4,234370,1,4,108038,1,4,234370,1
4,256,52,332,1,114,98,77619800,1,180,126992287,1,89,109583883,0,204,126992287,1
3,7,6,0,4,0,8,4541,1,8,3396,1,7,5056,1,7,3156,1
3,21,14,0,5,0,7,73277,1,6,163245,1,6,91006,1,6,85791,1
3,6,6,0,6,0,6,3742,1,6,5565,1,8,3762,1,7,4180,1
3,15,9,0,3,0,0,1673,0,7,31817,1,7,34599,1,6,31256,1
4,48,28,1,7,3,7,1247934,1,0,135192,0,7,2676012,1,7,2974254,1
3,21,9,0,1,0,6,63964,1,6,138279,1,6,69466,1,6,138279,1
4,176,54,119,6,56,43,62191776,1,48,81032384,0,6,14811875,0,66,117750298,1
3,24,13,0,4,0,4,143584,1,4,181189,1,4,668834,1,0,56803,0
4,148,43,34,4,28,17,19212833,1,26,39752016,1,3,9582986,0,40,75183835,1
3,21,11,0,3,0,4,77904,1,4,105355,1,4,72903,1,4,96578,1
3,8,7,0,7,0,4,27007,1,4,16608,1,4,14079,1,4,17456,1
4,196,30,99,2,74,31,24701752,1,39,40094449,1,48,60785580,1,54,74701253,1
3,15,10,0,5,0,4,19580,1,4,28353,1,4,77142,1,4,26853,1
3,27,12,0,4,0,4,174474,1,4,148669,1,4,494027,1,4,156025,1
3,9,7,0,3,0,4,11141,1,4,12214,1,4,6157,1,4,6784,1
4,103,48,10,6,7,11,10790303,1,18,33046074,1,0,5336,0,17,31575529,1
3,27,17,0,5,0,4,526503,1,4,183842,1,4,443083,1,4,175994,1
3,27,16,0,3,0,4,154716,1,0,547,0,4,318023,1,5,438340,1
3,9,9,0,9,0,4,17890,1,4,12337,1,4,12129,1,4,13646,1
4,27,21,0,3,0,0,4452,0,3,360156,1,3,385143,1,3,473218,1
3,27,11,0,3,0,4,252564,1,4,195336,1,4,185986,1,4,200321,1
4,232,41,206,3,80,74,69201195,1,101,140258911,1,3,7314183,0,0,38094,0
3,9,7,0,3,0,4,16639,1,4,15960,1,4,6582,1,4,6490,1
4,256,48,298,2,200,79,58366564,1,124,158819475,1,103,109771786,1,0,405000,0
3,21,13,0,6,0,9,87196,1,5,68918,1,4,95766,1,4,99882,1
4,23,14,0,14,0,3,149315,1,3,106661,1,3,173385,1,4,109656,1
3,15,8,0,4,0,4,23374,1,4,49167,1,4,40521,1,4,26757,1
4,52,21,0,4,0,4,1262985,1,4,1276249,1,4,1719311,1,4,1602498,1
3,24,14,0,14,0,4,248999,1,4,285386,1,4,203130,1,4,243684,1
4,142,43,26,2,53,19,21882689,1,50,103852688,1,0,2097800,0,21,48157773,0
3,27,15,0,5,0,4,174248,1,4,427866,1,4,408670,1,4,541209,1
3,11,5,0,3,0,4,3102,1,4,3983,1,4,4447,1,4,1879,1
3,24,14,0,6,0,4,156446,1,4,296195,1,4,111456,1,4,193454,1
3,27,16,0,3,0,4,252988,1,0,2710,0,4,254303,1,0,9215,0
3,11,8,0,2,0,4,5942,1,4,15458,1,4,15323,1,4,10603,1
3,21,13,0,5,0,4,110814,1,4,87179,1,0,2194,0,0,2550,0
3,15,8,0,4,0,4,46323,1,4,26950,1,4,34792,1,4,34491,1
4,64,25,2,6,1,5,2853440,1,5,4900774,1,5,4054343,1,6,7294846,1
3,11,8,0,8,0,4,14645,1,4,17474,1,4,23011,1,4,13437,1
3,24,15,0,3,0,4,145488,1,4,172956,1,4,133289,1,4,108399,1
3,24,13,0,3,0,4,134676,1,4,137365,1,4,160282,1,4,137365,1
3,24,13,0,4,0,4,184218,1,4,144757,1,4,373493,1,4,185436,1
