Number of leaf symbols,States in word automata,States in tree automata,Standard equivalence queries,Standard time,Advice equivalence queries,Advice time,Approximate time,Approximate tokens,Approximate is_found,Approximate advice time,Approximate advice tokens,Approximate advice is_found,Approximate random check time,Approximate random check tokens,Approximate random check is_found,Approximate counting heuristic time,Approximate counting heuristic tokens,Approximate counting heuristic is_found
4,5,173,13,5,4,3,7,3822584,1,6,3689362,1,6,5274840,1,8,8857959,1
4,4,54,12,0,2,0,3,955172,1,3,645670,1,3,1981621,1,3,1426830,1
4,3,27,6,0,2,0,3,65627,1,2,62516,1,2,100428,1,3,112802,1
4,4,100,13,2,3,3,5,4296110,1,5,3052452,1,7,9836916,1,6,5326636,1
4,4,78,12,1,2,1,4,2508373,1,5,3678326,1,5,5825269,1,5,3451663,1
4,4,76,12,1,2,2,4,1572499,1,5,3714108,1,4,3815206,1,4,2443425,1
2,5,24,16,0,1,0,6,568835,1,5,330623,1,5,626716,1,4,330623,1
2,8,178,27,5,4,18,13,16619083,1,16,23285598,1,40,22446709,1,16,23538556,1
2,5,39,7,0,2,0,4,109367,1,4,44458,1,4,85279,1,4,117756,1
2,6,107,14,3,3,4,8,6855500,1,9,5528117,1,35,14352121,1,8,5528123,1
3,3,24,6,0,2,0,3,48390,1,3,55053,1,3,47199,1,3,55040,1
2,5,50,16,0,4,2,6,3841080,1,6,2870229,1,8,8620232,1,6,4232881,1
4,4,37,9,0,2,0,0,22979,0,3,216643,1,3,263347,1,3,492151,1
2,5,27,13,0,4,0,5,413266,1,5,492023,1,0,715045,0,4,371174,1
2,5,145,18,11,1,14,20,31408307,1,44,17230689,1,38,64083311,1,87,164374336,1
2,6,32,12,0,4,0,5,256614,1,5,97992,1,5,185727,1,4,129463,1
2,7,52,21,1,3,2,0,29582,0,6,2649136,1,6,3021454,1,8,5988301,1
2,5,21,6,0,1,0,4,6203,1,4,9389,1,5,22153,1,5,25576,1
2,5,90,13,0,1,1,6,2546749,1,7,2874906,1,6,2043572,1,6,2874906,1
3,3,24,6,0,3,0,3,103777,1,3,64871,1,0,2454,0,3,46005,1
2,6,44,14,0,3,0,5,875871,1,5,713842,1,5,261316,1,5,196789,1
4,3,24,6,0,2,0,3,43722,1,3,60530,1,2,47079,1,3,87808,1
2,7,179,24,31,4,83,54,102863774,1,62,68065749,1,84,158807665,1,110,177793159,1
4,4,39,9,0,2,0,3,256103,1,3,578306,1,3,346583,1,3,427406,1
2,6,172,25,18,4,79,48,93444066,1,75,102160967,1,122,237905442,1,53,80633487,1
3,5,90,20,2,2,14,6,6217115,1,7,5798014,1,11,17813038,1,34,14290221,1
2,4,24,11,0,5,0,4,437613,1,0,68,0,5,695097,1,4,281552,1
3,5,82,18,2,6,5,6,4738084,0,12,17887310,1,9,11807632,1,24,46688127,1
3,4,23,11,0,5,0,3,285548,1,3,275799,1,3,206540,1,3,714082,1
4,4,94,13,1,3,3,5,5574533,1,5,1921535,1,5,3690728,1,4,1860534,1
4,4,100,12,2,2,3,5,3661294,1,6,5394091,1,0,1199407,0,6,5394091,1
3,5,171,21,16,3,46,52,45924802,1,28,22013122,1,50,90702300,1,47,70381445,1
4,3,21,6,0,2,0,2,31325,1,2,53350,1,2,36184,1,2,54438,1
3,4,128,13,4,3,9,8,7395263,1,13,15046419,1,13,18615269,1,12,15046419,1
2,5,66,13,1,3,1,9,8625439,1,6,2314765,1,6,2869037,1,6,2358912,1
2,5,122,20,6,4,28,14,19458794,1,43,27492404,1,20,30847508,1,27,39160897,1
3,3,27,6,0,1,0,3,129294,1,3,84876,1,3,78362,1,3,84899,1
4,3,27,6,0,3,0,3,84729,1,2,77912,1,2,53097,1,0,375,0
3,3,27,6,0,1,0,3,79977,1,3,48250,1,3,109094,1,3,56970,1
3,4,59,13,0,3,1,4,1043450,1,5,3029136,1,4,2013066,1,4,1907760,1
2,5,60,17,0,4,2,6,2761993,1,7,6111530,1,6,3394833,1,7,6274803,1
3,4,55,12,0,2,0,4,1182240,1,4,1352711,1,3,941370,1,0,11750,0
3,5,39,13,0,4,0,3,547333,1,3,603421,1,3,736351,1,3,499596,1
2,4,40,10,0,3,0,4,273291,1,5,461506,1,5,320349,1,5,473899,1
2,3,24,7,0,3,0,5,50515,1,4,63535,1,4,137526,1,4,66768,1
3,4,22,9,0,2,0,3,242141,1,3,100541,1,3,68035,1,3,100541,1
2,5,26,10,0,2,0,5,248906,1,4,162520,1,4,120581,1,4,169734,1
2,5,109,21,3,3,11,13,16895062,1,15,16518096,1,19,28910741,1,25,42088298,1
3,5,69,16,0,4,2,5,4502096,1,5,2297045,1,7,7737885,1,5,3043249,1
3,4,76,12,1,2,1,5,3601822,1,5,2661002,1,6,5956745,1,5,2660998,1
3,4,40,13,0,2,0,4,560188,1,3,416889,1,3,1149155,1,0,76,0
2,5,137,16,6,2,14,17,26355784,1,18,20978391,1,23,35842590,1,21,30977797,1
2,4,30,1,0,1,0,4,4,1,4,4,1,4,4,1,4,4,1
4,5,134,20,7,2,13,10,9278042,1,17,17118202,1,22,41101148,1,16,17524906,1
2,3,24,7,0,3,0,4,56081,1,5,42406,1,4,49645,1,4,60929,1
2,4,39,12,0,3,0,5,1233223,1,6,810371,1,5,1258043,1,5,831330,1
2,9,108,17,0,2,0,5,354092,1,5,475196,1,5,298624,1,5,290163,1
3,5,96,24,6,4,7,9,12667545,1,8,6892599,1,12,18507031,1,8,7617541,1
4,4,58,13,0,3,0,5,1638069,1,3,1130011,1,3,1806468,1,4,1953035,1
4,4,54,14,0,3,0,3,1113589,1,3,1265172,1,3,1877003,1,3,1265172,1
3,4,23,13,0,5,0,3,339194,1,0,1366,0,3,169707,1,0,8045,0
2,8,109,1,0,1,0,4,4,1,4,4,1,4,4,1,4,4,1
3,3,23,6,0,2,0,3,63762,1,3,43823,1,3,54688,1,3,46364,1
2,7,141,16,3,4,6,9,7018039,1,10,5716811,1,9,6476572,1,16,23842574,1
2,4,78,18,1,2,2,9,9789368,1,10,12509416,1,8,7834138,1,7,3654776,1
2,3,24,6,0,3,0,4,56000,1,4,62858,1,4,48031,1,4,67744,1
4,4,35,13,0,2,0,3,233721,1,3,218466,1,3,310662,1,3,268706,1
2,4,22,7,0,3,0,4,24608,1,4,11596,1,4,36282,1,4,10948,1
4,5,157,16,11,6,14,14,16847162,1,22,23779757,1,33,60862853,1,27,44415895,1
3,5,56,17,0,5,1,4,1388904,0,5,3621291,1,4,2662177,0,5,3949584,1
2,5,31,9,0,2,0,5,276689,1,4,267613,1,4,255376,1,4,167635,1
2,3,24,7,0,3,0,4,201181,1,4,51800,1,4,71492,1,4,55182,1
3,4,57,13,0,6,0,4,2035978,1,4,2088166,1,4,2762514,1,4,2568992,1
2,6,171,25,25,2,97,31,47486980,1,100,160912036,1,105,198643398,1,98,160912036,1
2,6,49,16,0,3,0,6,2573491,1,5,1753330,1,6,3390613,1,6,3681592,1
2,5,140,22,8,3,20,44,35546761,1,25,26012508,1,22,31284139,1,35,56759928,1
2,3,24,6,0,1,0,5,87927,1,5,178971,1,4,50512,1,4,63134,1
2,6,87,20,2,5,5,8,8119958,1,14,18799238,1,8,7167027,1,13,15817900,1
2,6,80,12,0,3,1,10,12828765,1,5,1084585,1,6,1855217,1,5,1151231,1
3,4,97,13,1,1,4,5,3079159,1,7,5593740,1,7,8746857,1,6,4799479,1
2,7,96,25,4,3,9,14,22543832,1,14,15076981,1,12,16215453,1,13,15076981,1
4,5,78,16,1,2,2,6,2499857,1,5,3674482,1,5,4112043,1,4,2245847,1
3,4,176,12,12,2,21,17,17136576,1,27,34897164,1,24,33676387,1,18,16864507,1
3,5,143,21,13,5,26,14,20039515,1,22,26099404,1,23,37493694,1,19,21832502,1
2,3,24,7,0,4,0,4,79406,1,4,127337,1,5,133818,1,4,107254,1
2,3,24,6,0,1,0,4,61026,1,4,178971,1,4,153739,1,4,46267,1
4,5,155,21,15,3,31,13,15669052,0,25,23781779,1,34,64247679,1,38,61450243,1
2,7,118,16,1,1,2,7,5423659,1,7,3654636,1,7,3906477,1,7,3654636,1
3,6,197,29,43,2,134,23,38374405,0,117,115029426,1,20,45604967,0,127,214614899,1
3,4,40,12,0,2,0,3,405213,1,3,608994,1,3,607167,1,3,341878,1
4,4,42,12,0,4,0,4,1491238,1,3,678278,1,3,1655232,1,3,591734,1
3,5,127,21,8,2,11,13,20102215,1,19,27723456,1,15,24751673,1,13,12980898,1
2,5,40,10,0,3,0,5,1241597,1,4,332360,1,5,426761,1,5,285362,1
2,6,23,10,0,3,0,4,47913,1,4,37378,1,4,45085,1,4,26405,1
3,4,100,12,2,2,4,5,4211531,1,10,12275351,1,9,12262593,1,8,8600388,1
2,5,24,10,0,3,0,4,105818,1,4,65836,1,4,40661,1,4,65836,1
2,4,24,13,0,4,0,4,462989,1,4,413972,1,5,672726,1,4,298314,1
2,4,78,11,0,1,1,7,5067012,1,6,1703636,1,6,2975792,1,7,4460474,1
2,6,50,12,0,3,0,5,565316,1,4,230735,1,5,643959,1,5,377198,1
2,4,41,12,0,1,0,5,1128852,1,5,1112337,1,5,1291570,1,5,1112337,1
4,4,176,12,11,2,17,13,11127731,1,20,17208615,1,20,25748770,1,18,17208615,1
4,4,74,13,0,1,1,3,1668218,1,4,2001115,1,4,2046193,1,4,2001115,1
3,5,68,16,1,2,2,7,7553777,0,5,2661571,1,5,3717155,1,5,2670922,1
3,4,30,12,0,3,0,0,5341,0,3,1187256,1,3,335241,1,3,334884,1
2,3,24,6,0,1,0,0,68,0,4,110036,1,4,67774,1,4,110081,1
2,7,166,17,6,4,21,24,40955078,1,21,28582603,1,36,65147685,1,17,24335057,1
3,4,62,13,0,2,1,4,1778367,1,4,1609980,1,4,2156677,1,4,1610559,1
4,4,67,12,0,3,1,3,1459004,1,4,1815363,1,4,2034479,1,4,1869644,1
2,6,170,21,10,4,133,18,26709154,1,22,24020681,1,0,86154,0,61,109342815,1
2,5,61,17,0,4,1,8,6737575,1,7,3750897,1,6,3743145,1,7,5247149,1
2,5,25,13,0,4,0,5,637223,1,4,198161,1,5,419063,1,0,790,0
2,6,31,21,0,3,1,5,646425,1,5,2197707,1,6,1424502,1,6,2719455,1
4,4,32,1,0,1,0,2,14,1,3,14,1,3,14,1,2,14,1
3,3,24,6,0,3,0,3,78431,1,3,74643,1,3,123870,1,3,45034,1
2,5,45,9,0,1,0,5,73437,1,4,72510,1,5,182526,1,4,72510,1
2,5,113,20,5,1,17,15,24474049,1,22,27480007,1,23,38580283,1,32,52796874,1
4,4,66,12,0,3,1,3,920740,1,4,1706595,1,4,2361565,1,4,2162306,1
2,10,171,49,54,2,242,158,368185352,0,249,473513549,1,0,68,0,210,391577535,1
2,4,28,10,0,4,0,5,338580,1,5,127902,1,4,125468,1,4,146976,1
2,5,39,16,0,3,0,5,1153910,1,7,5810847,1,5,1340216,1,5,995952,1
4,5,97,17,2,2,6,6,6172894,1,9,10363237,1,8,10513751,1,8,8418724,1
2,8,197,25,16,3,70,22,29847180,1,75,129570838,1,59,115257088,1,74,129570838,1
2,5,108,1,0,1,0,4,4,1,4,4,1,4,4,1,4,4,1
2,5,61,12,0,4,3,5,1103114,1,6,1774408,1,5,1193728,1,6,1821280,1
2,5,188,20,32,1,48,48,85905791,1,52,60483497,1,133,252863666,1,49,60483497,1
3,5,144,21,8,3,30,38,17506494,1,44,79859701,1,48,96439550,1,20,29931333,1
3,4,102,13,2,4,3,5,3494065,1,7,5346041,1,8,10023691,1,6,3603619,1
2,7,72,25,1,5,1,7,5131132,1,8,6630145,1,8,9328963,1,7,5290228,1
3,6,175,31,48,4,50,28,49937048,0,51,68907097,1,156,322293618,1,94,162494672,1
3,6,145,25,12,3,33,14,19240731,0,76,89238657,1,66,123883779,1,42,66838944,1
2,7,77,21,2,2,5,8,6754918,1,10,10775881,1,13,15562800,1,10,10796892,1
3,4,21,6,0,4,0,3,6729,1,3,5408,1,3,6297,1,3,6952,1
2,5,117,20,7,2,14,15,20790951,1,18,19842021,1,35,63462263,1,18,25992156,1
2,6,25,1,0,1,0,4,12,1,4,12,1,4,12,1,4,12,1
4,4,100,12,1,2,4,4,2567631,1,7,5840797,1,5,4829290,1,5,3491015,1
2,6,84,14,1,4,3,6,3625636,1,7,4207540,1,9,9974137,1,10,11372621,1
2,4,66,15,1,4,1,6,2755407,1,7,6182440,1,6,2235169,1,6,1843246,1
2,5,20,10,0,5,0,5,467148,1,0,27147,0,5,82615,1,4,127524,1
3,6,67,1,0,1,0,3,13,1,3,13,1,3,13,1,3,13,1
3,5,39,9,0,4,0,3,146718,1,3,46063,1,3,73098,1,3,42258,1
3,7,187,24,26,2,35,24,39230106,0,36,25908220,1,32,43380204,1,48,60531414,1
2,4,97,14,1,3,4,9,9049749,1,9,7519470,1,33,5301049,1,25,39833358,1
4,3,24,6,0,2,0,3,43111,1,2,38994,1,3,82981,1,3,39003,1
3,7,199,23,4,2,5,11,5258600,0,0,725682,0,0,21301,0,9,9013125,1
3,5,80,14,1,3,3,5,4146929,1,7,7650516,1,5,3203554,1,6,5896350,1
2,3,24,7,0,5,0,4,55804,1,4,47787,1,4,67415,1,5,100617,1
3,4,61,11,0,3,0,4,689631,1,4,1172870,1,4,1135801,1,4,1172635,1
2,7,71,9,0,3,0,5,23553,1,0,2912,0,5,21606,1,5,17958,1
2,4,63,12,0,2,1,6,1837371,1,6,1880854,1,6,3212920,1,8,6195911,1
3,3,27,7,0,3,0,3,78899,1,3,78922,1,3,105227,1,3,77392,1
2,5,30,6,0,2,0,0,3385,0,4,27819,1,4,95221,1,4,27819,1
3,4,62,15,1,4,1,5,2191209,1,0,2003,0,0,3764,0,4,1485705,1
3,3,23,6,0,1,0,3,98556,1,3,39969,1,3,41654,1,3,48181,1
2,4,40,14,0,3,0,5,1627970,1,5,821194,1,5,1998894,1,5,1922481,1
3,3,23,6,0,1,0,0,294,0,3,35065,1,3,41716,1,3,35065,1
2,5,73,13,0,4,0,5,1001302,1,5,1250568,1,5,927850,1,5,698609,1
2,6,174,17,7,7,10,14,15030027,1,30,41222094,1,15,16226626,1,19,16798861,1
2,6,76,17,1,4,1,6,2788682,1,8,6333489,1,8,6652558,1,8,5972289,1
2,6,185,26,33,2,129,87,181937009,1,133,216046770,1,70,118768123,1,83,111377382,1
4,3,27,7,0,2,0,3,52730,1,3,60020,1,3,52578,1,3,60019,1
3,5,176,21,21,3,68,27,36564664,1,70,111540700,1,36,59125520,1,67,111540700,1
4,3,23,7,0,1,0,3,36636,1,2,33861,1,2,76203,1,2,33861,1
4,3,24,6,0,2,0,3,186528,1,2,45670,1,2,48944,1,3,84533,1
4,4,199,13,18,4,23,20,15700499,1,28,20590505,1,36,50109703,1,22,13859853,1
2,6,162,24,19,4,111,31,51103370,1,110,199717907,1,79,147997966,1,55,83791524,1
2,8,64,17,0,2,0,5,406994,1,5,247117,1,0,12869,0,5,267551,1
4,3,27,6,0,1,0,3,72386,1,3,94101,1,3,105217,1,3,56602,1
4,3,21,7,0,2,0,3,74585,1,0,83,0,2,40911,1,3,39159,1
4,4,35,13,0,4,0,3,681100,1,3,545647,1,3,295384,1,3,455593,1
3,5,149,12,1,2,2,5,2212709,1,6,3180199,1,0,76,0,6,4218002,1
2,6,160,25,18,2,151,30,51650062,1,317,618483125,1,99,191060223,1,215,389274136,1
3,4,100,12,1,3,2,5,4477676,1,5,2777497,1,9,13084374,1,7,7013571,1
3,4,58,13,0,3,0,4,2247299,1,4,1121858,1,4,2973301,1,4,1077375,1
3,4,40,13,0,3,0,5,348993,1,3,830115,1,3,1034231,1,3,1167439,1
4,4,176,12,10,2,19,12,8336465,1,19,17558761,1,26,40695680,1,22,28370173,1
4,3,23,6,0,2,0,2,64027,1,2,43565,1,2,73918,1,2,37822,1
2,6,186,31,51,3,238,182,423643526,1,571,1261043398,1,118,189571082,1,286,518507455,1
4,4,63,12,0,2,0,3,1904137,1,3,897009,1,3,1455512,1,3,897009,1
3,3,24,7,0,4,0,3,50277,1,3,46410,1,3,140695,1,3,48738,1
4,3,24,6,0,2,0,2,44738,1,2,46670,1,2,42314,1,2,45837,1
2,7,34,12,0,4,0,4,190290,1,4,228218,1,4,127020,1,4,141959,1
4,3,27,7,0,2,0,2,67535,1,2,49945,1,2,167713,1,2,50426,1
2,6,50,15,0,1,0,5,2496700,1,5,1668808,1,7,4769720,1,5,1668808,1
2,4,31,10,0,3,0,4,276011,1,5,189736,1,4,209127,1,4,230434,1
2,6,34,6,0,2,0,4,10003,1,4,9759,1,4,6341,1,4,9885,1
4,4,29,7,0,2,0,0,83,0,2,29081,1,0,82,0,2,29298,1
2,4,32,11,0,4,0,4,426666,1,4,775898,1,6,3827156,1,5,1011599,1
2,3,24,6,0,1,0,4,141840,1,4,87389,1,4,47005,1,4,205557,1
3,5,28,8,0,2,0,3,13606,1,3,19508,1,3,13639,1,3,19508,1
2,4,23,9,0,1,0,4,120389,1,4,92368,1,4,162613,1,4,103419,1
3,4,43,13,0,3,0,3,552362,1,4,1617230,1,3,760775,1,3,1453781,1
2,6,24,6,0,2,0,4,7687,1,4,3734,1,4,5516,1,4,3874,1
4,4,48,11,0,1,0,3,562024,1,3,1432833,1,3,1058713,1,3,1432833,1
3,3,24,6,0,2,0,3,45016,1,3,42519,1,3,82482,1,3,41464,1
4,3,27,6,0,2,0,2,63120,1,2,51189,1,2,143401,1,2,51189,1
3,5,30,9,0,4,0,3,19398,1,3,19995,1,3,24741,1,3,18935,1
2,5,29,12,0,4,0,4,571503,1,4,363668,1,4,366737,1,4,256499,1
4,3,21,8,0,4,0,2,48081,1,2,47821,1,2,46209,1,2,48185,1
2,5,22,1,0,1,0,5,4,1,4,4,1,4,4,1,4,4,1
3,4,39,12,0,2,0,3,803066,1,4,1904537,1,3,1077543,1,3,573254,1
4,3,24,6,0,1,0,2,78091,1,2,47705,1,2,38474,1,2,47732,1
2,5,24,13,0,2,0,4,386870,1,4,198999,1,4,253823,1,4,194165,1
2,5,41,1,0,1,0,4,4,1,4,4,1,4,4,1,4,4,1
2,7,20,13,0,3,0,4,57003,1,4,39848,1,4,46809,1,4,39495,1
2,5,48,20,0,3,1,5,2120593,1,6,3540745,1,6,2815065,1,6,2505290,1
2,4,31,7,0,4,0,4,286577,1,4,130419,1,4,377239,1,4,92634,1
2,5,28,13,0,2,0,4,245279,1,4,228727,1,4,274056,1,4,256250,1
3,3,24,6,0,2,0,3,76683,1,3,69513,1,3,124864,1,3,51771,1
3,4,33,8,0,1,0,3,167157,1,3,131587,1,3,192683,1,3,131587,1
2,6,26,1,0,1,0,4,4,1,4,4,1,4,4,1,4,4,1
2,3,24,6,0,1,0,4,132175,1,4,77387,1,4,114361,1,4,77387,1
2,5,30,11,0,4,0,4,376638,1,4,616375,1,4,370550,1,4,218008,1
2,4,31,7,0,4,0,4,63050,1,4,42711,1,4,56893,1,4,50007,1
2,7,23,6,0,1,0,0,12294,0,4,3519,1,4,6098,1,4,3727,1
2,4,31,10,0,3,0,4,276711,1,4,165600,1,4,119185,1,4,165600,1
2,6,25,12,0,4,0,4,192203,1,4,136834,1,4,135063,1,4,300689,1
2,5,34,11,0,2,0,5,614497,1,4,203205,1,4,328289,1,4,175879,1
2,5,45,1,0,1,0,4,4,1,4,4,1,4,4,1,4,4,1
3,4,29,12,0,1,0,0,399,0,3,480734,1,3,228130,1,3,480734,1
3,3,24,6,0,1,0,3,38916,1,3,37833,1,3,46661,1,3,37833,1
4,4,50,12,0,5,0,5,1277431,1,4,3052458,1,3,1990575,1,3,1418065,1
2,6,27,2,0,1,0,0,1298,0,4,94,1,4,92,1,4,94,1
4,3,21,6,0,2,0,2,39070,1,2,32008,1,2,37746,1,2,35855,1
3,4,48,12,0,1,0,4,1358402,1,4,973509,1,3,918180,1,3,973509,1
2,6,32,14,0,3,0,5,2923201,1,5,891893,1,5,996877,1,5,891896,1
4,3,24,7,0,3,0,2,61165,1,2,81015,1,2,80456,1,2,89237,1
4,3,21,7,0,1,0,2,46492,1,2,27459,1,2,46347,1,2,27459,1
2,4,25,6,0,1,0,4,76479,1,4,14483,1,4,26908,1,4,14483,1
4,3,23,6,0,1,0,2,37748,1,3,40396,1,2,58876,1,2,40396,1
4,3,24,6,0,2,0,2,50470,1,2,39190,1,2,42057,1,2,58612,1
4,3,24,7,0,4,0,2,111231,1,2,49737,1,2,43915,1,2,76589,1
2,4,24,10,0,3,0,4,413809,1,4,436078,1,4,152316,1,4,242280,1
2,4,44,14,0,4,0,5,3063835,1,5,1967300,1,5,2308773,1,5,912578,1
2,4,28,11,0,3,0,4,240559,1,4,231631,1,4,334824,1,4,270903,1
4,4,40,6,0,3,0,2,49821,1,2,39188,1,2,49915,1,3,50426,1
2,3,24,6,0,2,0,4,49032,1,4,59699,1,4,46119,1,4,59699,1
4,4,32,11,0,3,0,0,199,0,3,184267,1,3,270828,1,3,465455,1
3,4,24,10,0,4,0,3,240457,1,3,601359,1,3,441016,1,3,90989,1
2,5,24,1,0,1,0,4,4,1,4,4,1,4,4,1,4,4,1
3,3,24,6,0,4,0,3,118724,1,3,51622,1,3,243578,1,3,51720,1
3,4,29,12,0,3,0,3,266866,1,3,216380,1,3,296631,1,3,226172,1
2,4,24,9,0,2,0,4,221925,1,4,97371,1,4,176095,1,4,82902,1
2,7,26,7,0,3,0,4,8284,1,4,5931,1,4,6868,1,4,12458,1
2,5,24,10,0,2,0,4,297231,1,4,188810,1,4,171998,1,4,430440,1
4,3,24,6,0,2,0,3,58377,1,2,57693,1,2,66259,1,2,61546,1
4,3,27,6,0,3,0,3,68933,1,2,68324,1,2,215281,1,2,69612,1
4,5,44,16,0,3,0,4,1102107,1,3,1290893,1,3,1401178,1,3,955784,1
2,3,24,6,0,2,0,5,96830,1,4,77206,1,4,61907,1,4,106405,1
2,10,46,1,0,1,0,4,12,1,4,12,1,4,12,1,4,12,1
4,4,29,12,0,1,0,0,43016,0,3,226371,1,2,194193,1,2,226371,1
3,4,39,1,0,1,0,3,13,1,3,13,1,3,13,1,3,13,1
2,4,24,1,0,1,0,4,12,1,4,12,1,4,12,1,4,12,1
4,4,48,11,0,2,0,3,975852,1,3,736407,1,5,1008161,1,3,638634,1
2,4,41,13,0,3,0,5,3062094,1,5,1049623,1,5,1475885,1,5,774788,1
3,5,23,9,0,1,0,3,82670,1,3,55570,1,3,45647,1,3,55570,1
3,3,23,7,0,3,0,3,496559,1,3,42600,1,3,111202,1,3,58978,1
3,3,27,7,0,4,0,0,38800,0,3,99981,1,3,104838,1,3,87026,1
3,4,39,13,0,2,0,3,557579,0,3,920627,1,6,749139,1,3,925397,1
4,3,24,7,0,4,0,2,81128,1,2,52509,1,2,136620,1,2,74488,1
2,4,23,9,0,2,0,4,384426,1,4,218268,1,4,140415,1,5,209411,1
2,4,39,13,0,4,0,4,813065,1,5,494343,1,5,1221335,1,5,668273,1
2,5,43,11,0,4,0,5,2136976,1,5,777631,1,5,520588,1,5,777625,1
3,3,27,6,0,2,0,3,120269,1,3,73849,1,3,78366,1,3,74625,1
2,5,49,9,0,3,0,4,235412,1,4,314281,1,4,284833,1,4,235214,1
2,5,21,12,0,2,0,4,194855,1,4,443920,1,4,377529,1,4,403811,1
3,3,24,7,0,3,0,3,44965,1,3,71649,1,3,125784,1,3,49881,1
2,4,24,9,0,3,0,4,223843,1,4,183670,1,4,171291,1,4,228919,1
4,4,24,9,0,3,0,2,105256,1,2,137380,1,2,82116,0,2,160284,1
4,4,29,12,0,2,0,2,163502,0,2,289746,1,3,264312,1,3,407955,1
2,5,49,13,0,3,0,5,1586792,1,5,1304415,1,5,1729847,1,5,681652,1
2,4,25,11,0,4,0,4,124375,1,4,166999,1,4,189063,1,4,167351,1
3,4,37,12,0,3,0,3,530072,1,3,908172,1,3,1093379,1,3,566276,1
4,3,24,7,0,4,0,2,58652,1,2,65907,1,2,47628,1,2,43903,1
2,4,37,12,0,3,0,5,1104654,1,5,1494126,1,5,913083,1,5,527051,1
2,5,39,14,0,3,0,5,690771,1,5,958793,1,4,687878,1,4,579367,1
3,4,40,11,0,4,0,3,818575,1,3,319548,1,3,311263,1,3,300250,1
2,6,47,18,0,4,0,5,3151082,1,5,1565180,1,0,32552,0,5,1784070,1
3,4,21,8,0,1,0,0,72,0,3,57274,1,3,51009,1,3,54176,1
2,6,45,16,0,3,0,5,1451900,1,5,1000371,1,5,1351698,1,6,2878737,1
2,6,28,7,0,2,0,4,34112,1,4,16936,1,4,22080,1,4,16936,1
2,4,40,11,0,2,0,5,553438,1,5,715038,1,5,1200555,1,5,598034,1
3,4,27,9,0,1,0,3,229277,1,3,85367,1,3,105805,1,3,85367,1
4,3,23,7,0,2,0,2,80188,1,2,45546,1,2,42373,1,2,45546,1
3,3,24,6,0,4,0,3,114391,1,3,50446,1,3,74882,1,3,46728,1
2,3,24,7,0,3,0,4,95452,1,4,49390,1,4,98930,1,5,60131,1
3,4,38,13,0,2,0,3,498334,1,3,461450,1,3,910032,1,3,460920,1
3,4,23,12,0,4,0,3,176569,1,3,118835,1,3,261063,1,3,119246,1
2,6,20,1,0,1,0,4,4,1,4,4,1,4,4,1,4,4,1
3,4,39,12,0,1,0,3,726048,1,3,471847,1,4,1844657,1,3,471847,1
4,3,24,6,0,2,0,2,50681,1,2,73249,1,2,51166,1,2,69098,1
4,3,27,6,0,2,0,3,66188,1,3,75143,1,2,87016,1,3,78642,1
2,4,40,13,0,1,0,2,5940200,0,5,880784,1,5,1467170,1,5,880780,1
3,4,46,12,0,3,0,4,1195179,1,3,567602,1,4,952046,1,3,567602,1
2,7,43,18,0,5,0,5,1152216,1,6,2709066,1,5,1418166,1,5,1328094,1
2,6,44,9,0,2,0,4,26500,1,0,6954,0,4,29834,1,4,33818,1
4,3,24,6,0,2,0,2,38906,1,2,44112,1,3,284698,1,3,38229,1
2,4,43,10,0,2,0,4,385864,1,5,406716,1,5,894635,1,5,406717,1
3,4,29,13,0,2,0,0,14698,0,3,178731,1,0,76,0,3,188749,1
4,3,27,6,0,2,0,2,95915,1,2,60243,1,2,61196,1,3,60123,1
3,3,27,6,0,2,0,3,163620,1,3,55286,1,3,80137,1,3,107435,1
4,3,24,6,0,2,0,2,44172,1,3,34646,1,2,79274,1,2,34648,1
2,8,41,12,0,3,0,4,100293,1,4,67826,1,0,1887,0,4,70442,1
4,3,24,6,0,1,0,3,46358,1,2,41780,1,2,49275,1,2,41780,1
4,3,27,6,0,2,0,2,76840,1,2,53236,1,2,61666,1,2,67067,1
4,3,23,6,0,1,0,2,65636,1,2,46294,1,2,95383,1,2,46294,1
4,3,24,7,0,3,0,2,55513,1,2,73933,1,2,60748,1,2,78116,1
4,4,46,12,0,4,0,3,959169,1,3,862487,1,3,1132324,1,3,836795,1
4,3,24,6,0,1,0,2,50863,1,3,147612,1,2,47688,1,2,41821,1
3,5,26,10,0,3,0,3,106374,1,3,47984,1,3,124078,1,3,49251,1
3,4,48,11,0,2,1,3,1300446,1,4,1390992,1,3,847686,1,4,3058770,1
2,5,49,13,0,4,0,4,671302,1,4,449751,1,5,1750520,1,5,378458,1
3,4,43,9,0,2,0,3,373999,1,3,472520,1,3,772483,1,3,244842,1
2,5,31,1,0,1,0,4,12,1,4,12,1,4,12,1,4,12,1
4,4,40,11,0,1,0,5,325458,1,3,621059,1,3,779281,1,3,621059,1
3,3,27,6,0,2,0,3,53873,1,3,56969,1,3,62599,1,3,79825,1
2,5,27,2,0,2,0,4,83,1,4,119,1,4,155,1,4,119,1
4,3,27,6,0,2,0,2,74172,1,2,76608,1,2,89754,1,2,73390,1
2,4,24,11,0,4,0,4,324287,1,4,242795,1,4,188086,1,4,127600,1
2,4,41,11,0,4,0,4,424142,1,0,7458,0,5,1245894,1,0,1680,0
3,4,50,11,0,2,0,3,1130084,1,4,2005731,1,3,1205769,1,4,1574764,1
